"DATE"  "VALUE"
1984/01     2628
1984/02     2323
1984/03     2824
1984/04     2798
1984/05     2877
1984/06     2760
1984/07     2777
1984/08     2740
1984/09     2507
1984/10     2568
1984/11     2536
1984/12     2447
1985/01     2597
1985/02     2279
1985/03     2840
1985/04     2629
1985/05     2780
1985/06     2551
1985/07     2593
1985/08     2650
1985/09     2522
1985/10     2775
1985/11     2684
1985/12     2828
1986/01     3116
1986/02     2508
1986/03     3282
1986/04     3226
1986/05     3267
1986/06     3308
1986/07     3521
1986/08     3582
1986/09     3444
1986/10     3868
1986/11     3869
1986/12     3862
1987/01     3799
1987/02     3768
1987/03     4261
1987/04     4512
1987/05     4326
1987/06     4497
1987/07     4491
1987/08     4388
1987/09     4586
1987/10     4564
1987/11     4683
1987/12     4819
1988/01     4625
1988/02     4313
1988/03     5174
1988/04     5321
1988/05     5153
1988/06     5039
1988/07     5064
1988/08     5035
1988/09     4903
1988/10     5366
1988/11     5236
1988/12     5476
1989/01     5429
1989/02     4657
1989/03     6259
1989/04     5821
1989/05     5743
1989/06     5686
1989/07     5609
1989/08     5294
1989/09     5457
1989/10     5131
1989/11     5475
1989/12     5207
1990/01     4910
1990/02     5039
1990/03     5932
1990/04     5851
1990/05     5998
1990/06     5558
1990/07     5799
1990/08     5581
1990/09     5577
1990/10     5979
1990/11     5935
1990/12     5553
1991/01     5807
1991/02     5392
1991/03     6414
1991/04     6259
1991/05     6540
1991/06     6359
1991/07     6324
1991/08     6393
1991/09     6315
1991/10     6338
1991/11     6435
1991/12     6382
1992/01     6439
1992/02     5452
1992/03     6795
1992/04     7190
1992/05     6935
1992/06     6770
1992/07     6801
1992/08     6628
1992/09     6783
1992/10     7148
1992/11     7047
1992/12     6936
1993/01     6108
1993/02     6944
1993/03     7650
1993/04     7156
1993/05     7460
1993/06     6990
1993/07     7138
1993/08     7267
1993/09     6994
1993/10     7419
1993/11     7266
1993/12     7489
1994/01     7094
1994/02     6384
1994/03     7813
1994/04     7802
1994/05     7766
1994/06     7746
1994/07     7803
1994/08     7698
1994/09     8433
1994/10     8413
1994/11     8605
1994/12     9032
1995/01     7965
1995/02     7616
1995/03     9914
1995/04     9245
1995/05     9962
1995/06     8992
1995/07     9602
1995/08    10092
1995/09     9815
1995/10     9866
1995/11    10462
1995/12    10018
1996/01     9676
1996/02     8847
1996/03     9917
1996/04     9905
1996/05    10023
1996/06     9771
1996/07     9770
1996/08    10095
1996/09    10513
1996/10    10295
1996/11    10027
1996/12    10114
1997/01     9872
1997/02     8697
1997/03    10473
1997/04    10490
1997/05    10445
1997/06    10358
1997/07    10469
1997/08    10201
1997/09    10894
1997/10    11019
1997/11    10298
1997/12    10581
1998/01     8462
1998/02     9620
1998/03    10190
1998/04    10012
1998/05    10042
1998/06    10119
1998/07     9923
1998/08     9979
1998/09    10375
1998/10    10380
1998/11     9751
1998/12     9994
1999/01     9807
1999/02     8659
1999/03    10553
1999/04    10559
1999/05    10357
1999/06    10502
1999/07    10895
1999/08    10950
1999/09    10741
1999/10    11747
1999/11    11564
1999/12    11140
2000/01    10872
2000/02     9831
2000/03    12644
2000/04    12410
2000/05    13362
2000/06    13927
2000/07    12986
2000/08    13697
2000/09    14321
2000/10    13661
2000/11    13266
2000/12    12447
2001/01    10370
2001/02    10705
2001/03    12502
2001/04    11587
2001/05    11497
2001/06    11153
2001/07    10804
2001/08    11410
2001/09    10482
2001/10    11980
2001/11    11787
2001/12    11437
2002/01    11320
2002/02    10159
2002/03    12714
2002/04    12914
2002/05    13138
2002/06    12380
2002/07    12628
2002/08    12996
2002/09    12788
2002/10    13455
2002/11    13417
2002/12    13043
2003/01    13017
2003/02    11166
2003/03    13489
2003/04    13503
2003/05    13706
2003/06    13829
2003/07    14501
2003/08    14386
2003/09    15398
2003/10    16138
2003/11    15180
2003/12    15715
2004/01    13935
2004/02    15038
2004/03    17240
2004/04    18033
2004/05    17253
2004/06    17702
2004/07    18537
2004/08    18060
2004/09    19496
2004/10    20246
2004/11    19751
2004/12    19796
2005/01    18422
2005/02    16193
2005/03    20899
2005/04    20813
2005/05    19520
2005/06    20658
2005/07    20152
2005/08    22151
2005/09    23778
2005/10    24612
2005/11    24605
2005/12    24590
2006/01    22109
2006/02    20262
2006/03    24939
2006/04    24679
2006/05    24598
2006/06    24915
2006/07    24070
2006/08    26213
2006/09    26631
2006/10    27291
2006/11    27217
2006/12    26389
2007/01    25926
2007/02    21918
2007/03    28032
2007/04    27460
2007/05    27529
2007/06    28700
2007/07    29723
2007/08    30490
2007/09    30918
2007/10    32202
2007/11    31892
2007/12    31024
2008/01    30305
2008/02    25880
2008/03    31618
2008/04    31768
2008/05    31511
2008/06    31361
2008/07    31364
2008/08    32130
2008/09    31790
2008/10    30412
